group,count,mean,median,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,mannwhitney_U,mannwhitney_p
normal,8300,81.07,66.52,66.59,-0.0,1147.86,-0.2336395599440929,1.2252044737501462e-108,-0.027061684502471636,0.011418971643089287,1345829.0,8.946709055016483e-20
anomalous,437,203.17,92.42,468.93,-0.0,7499.07,-0.2336395599440929,1.2252044737501462e-108,-0.027061684502471636,0.011418971643089287,1345829.0,8.946709055016483e-20
