delivery_start,hour_number,session_length_hours,total_number_of_orders,DA_price,Ask_mean_price,Ask_price_std,Bid_mean_price,Bid_price_std
2023-01-01 00:00:00,0,9.590965555555556,934,2.01,8.32355460385439,110.99528267352487,-10.234025695931475,25.494860980251296
2023-01-01 01:00:00,1,10.590917777777777,305,1.38,24.986098360655735,237.16755398247403,-12.031344262295084,43.99463421038338
2023-01-01 02:00:00,2,11.591348333333332,629,0.09,8.866486486486485,135.21806848848485,-10.724483306836248,50.02359700119551
2023-01-01 03:00:00,3,12.432471666666666,555,0.08,14.69209009009009,176.0564116148966,-12.037135135135134,50.56629487273905
2023-01-01 04:00:00,4,13.191237777777777,974,0.05,8.56482546201232,133.09934152585026,-12.035770020533882,28.316954188694975
2023-01-01 05:00:00,5,14.332880000000001,805,0.0,11.737329192546579,146.16192550085205,-11.840795031055901,36.70012104124135
2023-01-01 06:00:00,6,15.360138055555556,726,-0.38,10.5845041322314,154.0881368674144,-17.88677685950413,33.899209850578934
2023-01-01 07:00:00,7,16.59996027777778,853,0.0,8.533505275498241,142.28453285557316,-9.386459554513483,27.23836638664248
2023-01-01 08:00:00,8,17.591259444444443,542,0.0,16.177730627306275,178.0623012930882,-14.028505535055354,33.691501500574084
2023-01-01 09:00:00,9,18.640946388888892,1331,0.04,14.81911344853494,113.86550572011544,-8.08451540195342,21.826113627074808
2023-01-01 10:00:00,10,19.43923583333333,1377,0.8,15.545127087872185,111.69084123918635,-5.955570079883805,21.540946787480838
2023-01-01 11:00:00,11,20.59096444444444,1250,0.08,14.5522,117.1721011959713,-4.60024,22.451839458236975
2023-01-01 12:00:00,12,21.42113527777778,1592,0.04,9.72641959798995,104.18399277403644,-8.920263819095478,20.664099313378845
2023-01-01 13:00:00,13,22.47918166666667,23634,0.0,9.473100194634847,27.010861612727876,3.2560654142337313,6.370172899734823
2023-01-01 14:00:00,14,23.667729444444443,1896,0.85,35.62573839662447,122.9846791551497,14.280975738396624,23.994362267635825
2023-01-01 15:00:00,15,24.631754444444447,936,23.53,56.78586538461538,174.66148006562736,29.76010683760684,34.41673729730611
2023-01-01 16:00:00,16,25.592143611111112,1049,36.54,71.44677788369874,147.67587676124853,37.78702573879886,36.98458020860043
2023-01-01 17:00:00,17,26.662058055555555,3891,46.03,81.93875610382933,77.3357301058011,65.54960164482138,23.12393769606183
2023-01-01 18:00:00,18,27.607376111111112,9454,55.57,82.88232705733023,45.089471691531564,65.81000528876665,19.09192226765806
2023-01-01 19:00:00,19,28.643776944444443,11281,54.95,80.2542841946636,42.94880762515321,69.79105132523713,19.253185373209927
2023-01-01 20:00:00,20,29.591138055555554,12353,49.23,75.02238889338622,46.188578555808924,62.54635392212419,17.83081227404014
2023-01-01 21:00:00,21,30.624295,2691,44.99,96.57575622445187,91.59263320674735,71.95114083983648,27.940497378424798
2023-01-01 22:00:00,22,31.395205555555556,1188,45.96,491.73425084175085,908.7133688806964,53.81425084175084,31.291436964826566
2023-01-01 23:00:00,23,8.924076666666666,1488,35.0,253.1843077956989,667.9982189399798,-215.81455645161293,217.99188756168957
2023-01-02 00:00:00,0,9.932235833333333,1978,57.91,131.3598281092012,435.2083795674163,-287.35522750252784,193.3984171668533
2023-01-02 01:00:00,1,10.941017500000001,2388,51.67,56.61878559463987,151.29000460136967,-186.50322026800671,216.74095831920607
2023-01-02 02:00:00,2,11.891857222222223,2215,52.93,487.2370248306998,948.2603145232226,-185.48957562076748,218.86145753698338
2023-01-02 03:00:00,3,12.891876111111111,2091,44.16,181.08712577714016,552.6694147619478,-197.36799617407937,220.576923194352
2023-01-02 04:00:00,4,13.892080555555555,2147,50.08,188.80037727061017,539.8240437875683,-10.504224499301346,152.05966549989597
2023-01-02 05:00:00,5,14.93808111111111,2674,77.09,447.17952131638,859.6097932436985,-17.976851159311884,183.53377256763773
2023-01-02 06:00:00,6,15.890090833333332,1757,105.08,1302.7255093910076,1205.574661277513,56.29505406943656,146.34945011332883
2023-01-02 07:00:00,7,16.9339775,1250,140.64,864.2622640000001,1111.9398550150684,100.0194,75.42052145514013
2023-01-02 08:00:00,8,17.90855722222222,1295,145.98,709.2185096525097,1037.9888489426223,106.78488030888029,52.27016170143354
2023-01-02 09:00:00,9,18.92187388888889,2036,147.05,399.335884086444,752.9544026739586,94.58390471512772,93.37750443534951
2023-01-02 10:00:00,10,19.941212500000002,1959,145.61,335.70672281776416,680.7363942557582,103.73550791220009,81.00394930305147
2023-01-02 11:00:00,11,20.935268055555554,1709,143.35,404.96859566998245,759.1270484770046,92.24550029256875,117.32381215479954
2023-01-02 12:00:00,12,21.934046111111112,1571,144.38,1388.1167027371102,1204.9079015554053,110.47595798854232,71.06695269781622
2023-01-02 13:00:00,13,22.9211375,2532,143.76,1215.4023657187993,1202.5305183400567,95.92785545023698,113.41195078900685
2023-01-02 14:00:00,14,23.918531944444442,1872,148.2,541.5575641025641,895.6178069799224,89.62233440170941,135.66450897983228
2023-01-02 15:00:00,15,24.94067,3342,155.34,294.1140843806104,572.5113085185886,6.135763016158012,201.03653200709064
2023-01-02 16:00:00,16,25.927725,2251,162.89,463.2295513105286,795.8634919597279,5.294584629053761,209.68448076043168
2023-01-02 17:00:00,17,26.891402222222222,2742,170.0,517.4069803063458,849.1344458723084,144.8503792851933,83.82771244483676
2023-01-02 18:00:00,18,27.917740000000002,1719,174.74,328.45656195462476,607.2615784836331,154.52576497963935,29.977489680185723
2023-01-02 19:00:00,19,28.93719361111111,3253,164.46,178.54091915155246,240.45351561133364,143.61540424223796,30.522169202918814
2023-01-02 20:00:00,20,29.923670277777777,2357,153.0,156.63482817140434,215.1263125954293,129.70677980483666,14.516083668963399
2023-01-02 21:00:00,21,30.905624444444445,485,141.67,142.511587628866,218.6468130250884,79.11977319587628,123.28366896562635
2023-01-02 22:00:00,22,31.899817499999997,409,134.91,150.26476772616138,290.0887331338183,44.45916870415649,155.28665283222722
2023-01-02 23:00:00,23,8.688822777777778,2062,124.22,142.3896556741028,78.98494381690777,118.31977206595538,12.920116154746637
2023-01-03 00:00:00,0,9.730433888888887,2552,130.01,135.0163832288401,83.76414774612779,100.52684169278997,28.49813855251028
2023-01-03 01:00:00,1,10.738660555555555,2611,120.0,136.3868402910762,83.06195637563134,91.33281118345461,35.04720817017154
2023-01-03 02:00:00,2,11.77600111111111,1983,118.76,247.60933938477052,87.83007082536135,103.48636409480586,12.838619776378751
