hour_number,session_length_hours,total_number_of_orders,DA_price,Ask_mean_price,Ask_price_std,Bid_mean_price,Bid_price_std,Anomaly,Anomaly_score
10,19.42174194444444,863,70.07,106.60424101969876,14.118278787231816,91.40456546929316,26.318941720468967,1,0.1446544051681964
11,20.41349138888889,1893,79.74,109.51078711040677,13.220854872344882,88.53407818277866,19.705250538702582,1,0.16181092419944038
12,21.36643527777778,1751,80.89,111.9186693318104,12.807248617193158,78.63688178183895,29.39853516831388,1,0.15506507871003877
13,22.42241416666667,1948,79.72,117.35969712525667,14.14609115542372,87.82330595482546,33.57757058031201,1,0.1486875006554732
14,23.414857777777776,2286,80.22,116.4271741032371,13.922157708104184,81.92654418197726,27.04908832658432,1,0.152924002349978
15,24.42180527777777,1012,79.74,115.591709486166,19.97905867902415,97.21399209486164,23.59913345388805,1,0.14691000572122348
16,25.419565,1885,80.82,114.1267798408488,16.81103468983076,98.2209602122016,18.01028998697919,1,0.1549695706714418
17,26.392249444444445,951,86.16,108.11300736067298,13.01793395358671,82.83817034700316,19.30682289588467,1,0.1489274079976839
18,27.39719583333333,618,72.28,101.90574433656958,14.55595796675685,81.21165048543689,23.791497490974685,1,0.13231467878470715
19,28.367723055555555,907,66.61,81.96880926130099,7.50064673547112,63.04570011025358,13.95172954972718,1,0.13091902267259714
20,29.3970825,329,43.2,73.07677811550151,9.267660198961874,44.60075987841945,14.31674813512925,1,0.10930087309063213
21,30.38960944444444,1194,31.25,70.47461474036851,16.79980125198719,47.0201675041876,10.955200641482454,1,0.09782981594164225
22,31.422242222222224,1183,34.96,41.51701606086222,17.21117999217637,23.03688926458157,10.055986362338494,1,0.0637964483594945
23,8.907879166666667,782,9.09,27.70731457800512,26.276078656311,4.752774936061381,3.860468362446503,1,0.045197559745984495
0,9.792712777777778,1318,0.09,14.778232169954476,7.461035467768221,4.852192716236723,3.034091784372803,1,0.06104725265083372
1,10.864676111111113,1440,0.1,33.52543055555556,18.32255208843449,6.619659722222222,4.911788045318037,1,0.0859194999412925
2,11.869834166666664,527,0.12,33.70282732447818,15.70803286104478,14.624535104364323,8.380004408138419,1,0.0875024293150688
3,12.873683333333334,491,0.12,38.69376782077393,16.05440592647717,17.46936863543788,11.736739152213271,1,0.09275062250132221
4,13.937110277777778,772,2.23,63.13357512953368,28.930400010878163,38.36544041450777,18.30260982114101,1,0.09964211354684366
5,14.942030277777778,1458,10.07,105.48190672153636,37.60373323019734,68.10499314128944,12.891426067753365,1,0.12507008518333984
6,15.931266944444443,1861,61.04,132.20080064481462,27.541908101754768,107.7314777001612,18.76623298506221,1,0.14357660254059867
7,16.914229166666665,2053,87.19,154.32971261568437,23.40962111578948,131.34150998538723,35.44706583726317,1,0.12717167165716814
8,17.94134083333333,3343,95.84,156.07979359856415,29.242476749183982,113.88471133712234,46.60997536728817,1,0.11911631042571685
9,18.947264444444446,2097,125.55,169.034744873629,40.90228963365072,130.97190271816882,22.787268985527337,1,0.13505393513254543
10,19.895975,2504,131.92,168.1460822683706,30.728799550269784,144.02171725239617,21.490260234450226,1,0.1327369383354302
11,20.94581888888889,2364,143.07,164.00920473773266,28.00676096586224,145.68374788494077,12.05679467516459,1,0.1261889679991542
12,21.91376805555556,1799,140.91,155.12882712618122,25.748433999113303,131.73912173429682,30.88599145017096,1,0.12268000599603751
13,22.93969972222222,2270,142.58,165.39548898678416,40.48416236811033,133.98050660792953,25.052147470186263,1,0.12294439353545389
14,23.94137138888889,2497,151.03,171.9611493792551,37.6891264011083,127.01990788946738,39.430781981337645,1,0.11447321158597146
15,24.94450722222222,3890,159.48,188.0233881748072,37.52899954674584,151.688146529563,27.823614242642773,1,0.0978729402433271
16,25.94090138888889,4662,172.73,193.06871085371083,22.54170708541996,166.49163663663663,29.82290243983916,1,0.08151343405780082
17,26.93873583333333,2633,194.7,234.4844056209647,55.68472987745723,173.915017090771,16.77260992291383,1,0.05872327077673101
18,27.936759722222224,2802,194.67,174.9798715203426,22.57638081035176,148.10562812276945,21.765955153968083,1,0.08122545257889502
19,28.93820305555556,2122,177.98,173.57735155513666,40.313570628982525,136.57700282752123,20.36718179488523,1,0.10128007070165301
20,29.945579722222224,2898,163.99,211.33222567287785,53.99970594706501,125.0919530710835,29.785594012575157,1,0.09036773566096207
21,30.898000555555555,2398,152.0,142.684553794829,33.48297805559176,108.74934945788156,30.082294523499407,1,0.10026847266274574
22,31.84801583333333,3519,144.64,127.43658425689117,48.56349720242042,87.5949133276499,30.909060570335924,1,0.07327225968087675
23,8.672976666666667,2091,127.0,1306.9870109995218,1198.7788570851037,95.78772835963656,72.43303053770055,-1,-0.14493715881578095
0,9.57383972222222,1650,107.21,1354.7625151515151,1197.8610749095328,6.84749090909091,183.6665978430971,-1,-0.1713903904253411
1,10.623538333333332,2865,101.1,844.5896893542757,1109.245339732925,-32.38523909249563,208.14886815682067,-1,-0.1585463036400958
2,11.668833888888887,3416,96.73,519.0240163934426,921.0103569036748,78.6792593676815,38.15757330510889,-1,-0.045163002743783265
3,12.62359361111111,2910,82.34,215.7966804123712,550.3128539739267,46.84649140893471,106.87739157913045,-1,-0.017843459291642105
4,13.623563888888889,2884,81.93,464.9233009708738,871.7444353051287,-39.594622052704565,202.6640518372013,-1,-0.11534052902388281
5,14.6568625,704,84.03,463.3176136363636,866.406731428964,70.78789772727272,89.54046317767197,-1,-0.06583624346348527
6,15.6236425,956,97.25,440.73965481171547,830.886372918311,88.21324267782425,29.06020404989741,1,0.00017223287415280009
7,16.620307222222223,653,106.51,208.25592649310872,442.3123978928243,104.50825421133231,25.00693159764193,1,0.07082881741706715
8,17.672932777777778,710,120.7,126.49715492957748,201.55942475985745,96.98459154929576,28.5427332913273,1,0.11014022804528434
9,18.67251333333333,2463,116.86,124.79594803085668,193.24762452561583,99.69109622411692,16.59270063596882,1,0.12711697409038697
10,19.64526611111111,1672,112.85,281.0207535885167,626.5023815400182,95.84583732057416,19.035283535752917,1,0.05795968939779361
11,20.62727416666667,1468,113.37,163.0091144414169,362.4192323958464,97.1424182561308,23.10363406105168,1,0.09648673347768444
12,21.663549166666662,2378,115.0,267.3798402018503,606.4532409990691,93.63223717409588,16.29754001039747,1,0.06510731795145142
13,22.49051138888889,1008,109.78,111.94809523809523,131.7150396185298,98.9928373015873,19.582789671699874,1,0.1405185650583599
